TA1AAM ✅ (Alfa, Alfa, Mike) 🟢 🟢 ⚫️
TA1BTG ✅ (Bravo, Tango, Golf)
TA1BTI ✅ (Bravo, Tango, India)
TA1BTJ ✅ (Bravo, Tango, Juliett)
TA1BTN ✅ (Bravo, Tango, November)
TA1BTO ✅ (Bravo, Tango, Oscar)
TA1BTP ✅ (Bravo, Tango, Papa)
TA1BTQ ✅ (Bravo, Tango, Quebec)
TA1BTS ✅ (Bravo, Tango, Sierra)
TA1BTW ✅ (Bravo, Tango, Whiskey)
TA1BTX ✅ (Bravo, Tango, X-ray)
TA1BTZ ✅ (Bravo, Tango, Zulu)
TA1BUA ✅ (Bravo, Uniform, Alfa)
TA1BUD ✅ (Bravo, Uniform, Delta)
TA1BUE ✅ (Bravo, Uniform, Echo)
TA1BUF ✅ (Bravo, Uniform, Foxtrot)
TA1BUG ✅ (Bravo, Uniform, Golf)
TA1BUH ✅ (Bravo, Uniform, Hotel)
TA1BUI ✅ (Bravo, Uniform, India)
TA1BUJ ✅ (Bravo, Uniform, Juliett)
TA1BUK ✅ (Bravo, Uniform, Kilo)
TA1BUM ✅ (Bravo, Uniform, Mike)
TA1BUN ✅ (Bravo, Uniform, November)
TA1BUP ✅ (Bravo, Uniform, Papa)
TA1BUQ ✅ (Bravo, Uniform, Quebec)
TA1BUT ✅ (Bravo, Uniform, Tango)
TA1BUU ✅ (Bravo, Uniform, Uniform) ⚫️ 🟢 🟢
TA1BUV ✅ (Bravo, Uniform, Victor)
TA1BUW ✅ (Bravo, Uniform, Whiskey)
TA1BUX ✅ (Bravo, Uniform, X-ray)
TA1BUY ✅ (Bravo, Uniform, Yankee)
TA1BVC ✅ (Bravo, Victor, Charlie)
TA1BVD ✅ (Bravo, Victor, Delta)
TA1BVE ✅ (Bravo, Victor, Echo)
TA1BVF ✅ (Bravo, Victor, Foxtrot)
TA1BVG ✅ (Bravo, Victor, Golf)
TA1BVH ✅ (Bravo, Victor, Hotel)
TA1BVI ✅ (Bravo, Victor, India)
TA1BVJ ✅ (Bravo, Victor, Juliett)
TA1BVL ✅ (Bravo, Victor, Lima)
TA1BVM ✅ (Bravo, Victor, Mike)
TA1BVN ✅ (Bravo, Victor, November)
TA1BVO ✅ (Bravo, Victor, Oscar)
TA1BVP ✅ (Bravo, Victor, Papa)
TA1BVQ ✅ (Bravo, Victor, Quebec)
TA1BVR ✅ (Bravo, Victor, Romeo)
TA1BVS ✅ (Bravo, Victor, Sierra)
TA1BVT ✅ (Bravo, Victor, Tango)
TA1BVU ✅ (Bravo, Victor, Uniform)
TA1BVV ✅ (Bravo, Victor, Victor) ⚫️ 🟢 🟢
TA1BVW ✅ (Bravo, Victor, Whiskey)
TA1BVX ✅ (Bravo, Victor, X-ray)
TA1BVY ✅ (Bravo, Victor, Yankee)
TA1BVZ ✅ (Bravo, Victor, Zulu)
TA1BWA ✅ (Bravo, Whiskey, Alfa)
TA1BWB ✅ (Bravo, Whiskey, Bravo) 🟢 ⚫️ 🟢
TA1BWC ✅ (Bravo, Whiskey, Charlie)
TA1BWD ✅ (Bravo, Whiskey, Delta)
TA1BWE ✅ (Bravo, Whiskey, Echo)
TA1BWF ✅ (Bravo, Whiskey, Foxtrot)
TA1BWG ✅ (Bravo, Whiskey, Golf)
TA1BWH ✅ (Bravo, Whiskey, Hotel)
TA1BWI ✅ (Bravo, Whiskey, India)
TA1BWJ ✅ (Bravo, Whiskey, Juliett)
TA1BWK ✅ (Bravo, Whiskey, Kilo)
TA1BWM ✅ (Bravo, Whiskey, Mike)
TA1BWN ✅ (Bravo, Whiskey, November)
TA1BWO ✅ (Bravo, Whiskey, Oscar)
TA1BWP ✅ (Bravo, Whiskey, Papa)
TA1BWS ✅ (Bravo, Whiskey, Sierra)
TA1BWT ✅ (Bravo, Whiskey, Tango)
TA1BWU ✅ (Bravo, Whiskey, Uniform)
TA1BWV ✅ (Bravo, Whiskey, Victor)
TA1BWW ✅ (Bravo, Whiskey, Whiskey) ⚫️ 🟢 🟢
TA1BWX ✅ (Bravo, Whiskey, X-ray)
TA1BWY ✅ (Bravo, Whiskey, Yankee)
TA1BWZ ✅ (Bravo, Whiskey, Zulu)
TA1BXA ✅ (Bravo, X-ray, Alfa)
TA1BXB ✅ (Bravo, X-ray, Bravo) 🟢 ⚫️ 🟢
TA1BXC ✅ (Bravo, X-ray, Charlie)
TA1BXD ✅ (Bravo, X-ray, Delta)
TA1BXE ✅ (Bravo, X-ray, Echo)
TA1BXF ✅ (Bravo, X-ray, Foxtrot)
TA1BXG ✅ (Bravo, X-ray, Golf)
TA1BXH ✅ (Bravo, X-ray, Hotel)
TA1BXI ✅ (Bravo, X-ray, India)
TA1BXJ ✅ (Bravo, X-ray, Juliett)
TA1BXK ✅ (Bravo, X-ray, Kilo)
TA1BXL ✅ (Bravo, X-ray, Lima)
TA1BXM ✅ (Bravo, X-ray, Mike)
TA1BXN ✅ (Bravo, X-ray, November)
TA1BXO ✅ (Bravo, X-ray, Oscar)
TA1BXP ✅ (Bravo, X-ray, Papa)
TA1BXQ ✅ (Bravo, X-ray, Quebec)
TA1BXR ✅ (Bravo, X-ray, Romeo)
TA1BXS ✅ (Bravo, X-ray, Sierra)
TA1BXT ✅ (Bravo, X-ray, Tango)
TA1BXU ✅ (Bravo, X-ray, Uniform)
TA1BXV ✅ (Bravo, X-ray, Victor)
TA1BXW ✅ (Bravo, X-ray, Whiskey)
TA1BXX ✅ (Bravo, X-ray, X-ray) ⚫️ 🟢 🟢
TA1BXY ✅ (Bravo, X-ray, Yankee)
TA1BXZ ✅ (Bravo, X-ray, Zulu)
TA1BYC ✅ (Bravo, Yankee, Charlie)
TA1BYF ✅ (Bravo, Yankee, Foxtrot)
TA1BYH ✅ (Bravo, Yankee, Hotel)
TA1BYI ✅ (Bravo, Yankee, India)
TA1BYN ✅ (Bravo, Yankee, November)
TA1BYP ✅ (Bravo, Yankee, Papa)
TA1BYQ ✅ (Bravo, Yankee, Quebec)
TA1BYR ✅ (Bravo, Yankee, Romeo)
TA1BYS ✅ (Bravo, Yankee, Sierra)
TA1BYU ✅ (Bravo, Yankee, Uniform)
TA1BYV ✅ (Bravo, Yankee, Victor)
TA1BYW ✅ (Bravo, Yankee, Whiskey)
TA1BYX ✅ (Bravo, Yankee, X-ray)
TA1BZA ✅ (Bravo, Zulu, Alfa)
TA1BZB ✅ (Bravo, Zulu, Bravo) 🟢 ⚫️ 🟢
TA1BZC ✅ (Bravo, Zulu, Charlie)
TA1BZD ✅ (Bravo, Zulu, Delta)
TA1BZF ✅ (Bravo, Zulu, Foxtrot)
TA1BZG ✅ (Bravo, Zulu, Golf)
TA1BZH ✅ (Bravo, Zulu, Hotel)
TA1BZI ✅ (Bravo, Zulu, India)
TA1BZJ ✅ (Bravo, Zulu, Juliett)
TA1BZK ✅ (Bravo, Zulu, Kilo)
TA1BZL ✅ (Bravo, Zulu, Lima)
TA1BZM ✅ (Bravo, Zulu, Mike)
TA1BZN ✅ (Bravo, Zulu, November)
TA1BZO ✅ (Bravo, Zulu, Oscar)
TA1BZP ✅ (Bravo, Zulu, Papa)
TA1BZQ ✅ (Bravo, Zulu, Quebec)
TA1BZR ✅ (Bravo, Zulu, Romeo)
TA1BZS ✅ (Bravo, Zulu, Sierra)
TA1BZT ✅ (Bravo, Zulu, Tango)
TA1BZU ✅ (Bravo, Zulu, Uniform)
TA1BZV ✅ (Bravo, Zulu, Victor)
TA1BZW ✅ (Bravo, Zulu, Whiskey)
TA1BZX ✅ (Bravo, Zulu, X-ray)
TA1BZY ✅ (Bravo, Zulu, Yankee)
TA1BZZ ✅ (Bravo, Zulu, Zulu) ⚫️ 🟢 🟢
TA1CAE ✅ (Charlie, Alfa, Echo)
TA1CAF ✅ (Charlie, Alfa, Foxtrot)
TA1CAJ ✅ (Charlie, Alfa, Juliett)
TA1CAL ✅ (Charlie, Alfa, Lima)
TA1CAO ✅ (Charlie, Alfa, Oscar)
TA1CAQ ✅ (Charlie, Alfa, Quebec)
TA1CAU ✅ (Charlie, Alfa, Uniform)
TA1CAW ✅ (Charlie, Alfa, Whiskey)
TA1CAX ✅ (Charlie, Alfa, X-ray)
TA1CBD ✅ (Charlie, Bravo, Delta)
TA1CBF ✅ (Charlie, Bravo, Foxtrot)
TA1CBG ✅ (Charlie, Bravo, Golf)
TA1CBH ✅ (Charlie, Bravo, Hotel)
TA1CBJ ✅ (Charlie, Bravo, Juliett)
TA1CBK ✅ (Charlie, Bravo, Kilo)
TA1CBL ✅ (Charlie, Bravo, Lima)
TA1CBM ✅ (Charlie, Bravo, Mike)
TA1CBO ✅ (Charlie, Bravo, Oscar)
TA1CBP ✅ (Charlie, Bravo, Papa)
TA1CBQ ✅ (Charlie, Bravo, Quebec)
TA1CBR ✅ (Charlie, Bravo, Romeo)
TA1CBS ✅ (Charlie, Bravo, Sierra)
TA1CBT ✅ (Charlie, Bravo, Tango)
TA1CBU ✅ (Charlie, Bravo, Uniform)
TA1CBV ✅ (Charlie, Bravo, Victor)
TA1CBW ✅ (Charlie, Bravo, Whiskey)
TA1CBX ✅ (Charlie, Bravo, X-ray)
TA1CBY ✅ (Charlie, Bravo, Yankee)
TA1CBZ ✅ (Charlie, Bravo, Zulu)
TA1CCE ✅ (Charlie, Charlie, Echo) 🟢 🟢 ⚫️
TA1CCF ✅ (Charlie, Charlie, Foxtrot) 🟢 🟢 ⚫️
TA1CCG ✅ (Charlie, Charlie, Golf) 🟢 🟢 ⚫️
TA1CCH ✅ (Charlie, Charlie, Hotel) 🟢 🟢 ⚫️
TA1CCI ✅ (Charlie, Charlie, India) 🟢 🟢 ⚫️
TA1CCJ ✅ (Charlie, Charlie, Juliett) 🟢 🟢 ⚫️
TA1CCK ✅ (Charlie, Charlie, Kilo) 🟢 🟢 ⚫️
TA1CCL ✅ (Charlie, Charlie, Lima) 🟢 🟢 ⚫️
TA1CCM ✅ (Charlie, Charlie, Mike) 🟢 🟢 ⚫️
TA1CCN ✅ (Charlie, Charlie, November) 🟢 🟢 ⚫️
TA1CCO ✅ (Charlie, Charlie, Oscar) 🟢 🟢 ⚫️
TA1CCQ ✅ (Charlie, Charlie, Quebec) 🟢 🟢 ⚫️
TA1CCR ✅ (Charlie, Charlie, Romeo) 🟢 🟢 ⚫️
TA1CCS ✅ (Charlie, Charlie, Sierra) 🟢 🟢 ⚫️
TA1CCU ✅ (Charlie, Charlie, Uniform) 🟢 🟢 ⚫️
TA1CCV ✅ (Charlie, Charlie, Victor) 🟢 🟢 ⚫️
TA1CCW ✅ (Charlie, Charlie, Whiskey) 🟢 🟢 ⚫️
TA1CCX ✅ (Charlie, Charlie, X-ray) 🟢 🟢 ⚫️
TA1CCY ✅ (Charlie, Charlie, Yankee) 🟢 🟢 ⚫️
TA1CCZ ✅ (Charlie, Charlie, Zulu) 🟢 🟢 ⚫️
TA1CDB ✅ (Charlie, Delta, Bravo)
TA1CDC ✅ (Charlie, Delta, Charlie) 🟢 ⚫️ 🟢
TA1CDF ✅ (Charlie, Delta, Foxtrot)
TA1CDG ✅ (Charlie, Delta, Golf)
TA1CDH ✅ (Charlie, Delta, Hotel)
TA1CDI ✅ (Charlie, Delta, India)
TA1CDJ ✅ (Charlie, Delta, Juliett)
TA1CDK ✅ (Charlie, Delta, Kilo)
TA1CDO ✅ (Charlie, Delta, Oscar)
TA1CDP ✅ (Charlie, Delta, Papa)
TA1CDQ ✅ (Charlie, Delta, Quebec)
TA1CDR ✅ (Charlie, Delta, Romeo)
TA1CDS ✅ (Charlie, Delta, Sierra)
TA1CDU ✅ (Charlie, Delta, Uniform)
TA1CDV ✅ (Charlie, Delta, Victor)
TA1CDW ✅ (Charlie, Delta, Whiskey)
TA1CDY ✅ (Charlie, Delta, Yankee)
TA1CDZ ✅ (Charlie, Delta, Zulu)
TA1CEC ✅ (Charlie, Echo, Charlie) 🟢 ⚫️ 🟢
TA1CED ✅ (Charlie, Echo, Delta)
TA1CEF ✅ (Charlie, Echo, Foxtrot)
TA1CEH ✅ (Charlie, Echo, Hotel)
TA1CEJ ✅ (Charlie, Echo, Juliett)
TA1CEN ✅ (Charlie, Echo, November)
TA1CEP ✅ (Charlie, Echo, Papa)
TA1CEQ ✅ (Charlie, Echo, Quebec)
TA1CER ✅ (Charlie, Echo, Romeo)
TA1CEU ✅ (Charlie, Echo, Uniform)
TA1CEV ✅ (Charlie, Echo, Victor)
TA1CEX ✅ (Charlie, Echo, X-ray)
TA1CEY ✅ (Charlie, Echo, Yankee)
TA1CEZ ✅ (Charlie, Echo, Zulu)
TA1CFA ✅ (Charlie, Foxtrot, Alfa)
TA1CFB ✅ (Charlie, Foxtrot, Bravo)
TA1CFC ✅ (Charlie, Foxtrot, Charlie) 🟢 ⚫️ 🟢
TA1CFD ✅ (Charlie, Foxtrot, Delta)
TA1CFE ✅ (Charlie, Foxtrot, Echo)
TA1CFF ✅ (Charlie, Foxtrot, Foxtrot) ⚫️ 🟢 🟢
TA1CFG ✅ (Charlie, Foxtrot, Golf)
TA1CFH ✅ (Charlie, Foxtrot, Hotel)
TA1CFI ✅ (Charlie, Foxtrot, India)
TA1CFJ ✅ (Charlie, Foxtrot, Juliett)
TA1CFK ✅ (Charlie, Foxtrot, Kilo)
TA1CFL ✅ (Charlie, Foxtrot, Lima)
TA1CFM ✅ (Charlie, Foxtrot, Mike)
TA1CFN ✅ (Charlie, Foxtrot, November)
TA1CFO ✅ (Charlie, Foxtrot, Oscar)
TA1CFP ✅ (Charlie, Foxtrot, Papa)
TA1CFQ ✅ (Charlie, Foxtrot, Quebec)
TA1CFR ✅ (Charlie, Foxtrot, Romeo)
TA1CFS ✅ (Charlie, Foxtrot, Sierra)
TA1CFT ✅ (Charlie, Foxtrot, Tango)
TA1CFW ✅ (Charlie, Foxtrot, Whiskey)
TA1CFX ✅ (Charlie, Foxtrot, X-ray)
TA1CFY ✅ (Charlie, Foxtrot, Yankee)
TA1CFZ ✅ (Charlie, Foxtrot, Zulu)
TA1CGA ✅ (Charlie, Golf, Alfa)
TA1CGB ✅ (Charlie, Golf, Bravo)
TA1CGC ✅ (Charlie, Golf, Charlie) 🟢 ⚫️ 🟢
TA1CGD ✅ (Charlie, Golf, Delta)
TA1CGE ✅ (Charlie, Golf, Echo)
TA1CGF ✅ (Charlie, Golf, Foxtrot)
TA1CGG ✅ (Charlie, Golf, Golf) ⚫️ 🟢 🟢
TA1CGH ✅ (Charlie, Golf, Hotel)
TA1CGI ✅ (Charlie, Golf, India)
TA1CGJ ✅ (Charlie, Golf, Juliett)
TA1CGK ✅ (Charlie, Golf, Kilo)
TA1CGL ✅ (Charlie, Golf, Lima)
TA1CGM ✅ (Charlie, Golf, Mike)
TA1CGN ✅ (Charlie, Golf, November)
TA1CGO ✅ (Charlie, Golf, Oscar)
TA1CGP ✅ (Charlie, Golf, Papa)
TA1CGQ ✅ (Charlie, Golf, Quebec)
TA1CGS ✅ (Charlie, Golf, Sierra)
TA1CGT ✅ (Charlie, Golf, Tango)
TA1CGV ✅ (Charlie, Golf, Victor)
TA1CGW ✅ (Charlie, Golf, Whiskey)
TA1CGX ✅ (Charlie, Golf, X-ray)
TA1CGY ✅ (Charlie, Golf, Yankee)
TA1CGZ ✅ (Charlie, Golf, Zulu)
TA1CHB ✅ (Charlie, Hotel, Bravo)
TA1CHC ✅ (Charlie, Hotel, Charlie) 🟢 ⚫️ 🟢
TA1CHE ✅ (Charlie, Hotel, Echo)
TA1CHF ✅ (Charlie, Hotel, Foxtrot)
TA1CHG ✅ (Charlie, Hotel, Golf)
TA1CHH ✅ (Charlie, Hotel, Hotel) ⚫️ 🟢 🟢
TA1CHI ✅ (Charlie, Hotel, India)
TA1CHJ ✅ (Charlie, Hotel, Juliett)
TA1CHK ✅ (Charlie, Hotel, Kilo)
TA1CHL ✅ (Charlie, Hotel, Lima)
TA1CHM ✅ (Charlie, Hotel, Mike)
TA1CHO ✅ (Charlie, Hotel, Oscar)
TA1CHQ ✅ (Charlie, Hotel, Quebec)
TA1CHT ✅ (Charlie, Hotel, Tango)
TA1CHU ✅ (Charlie, Hotel, Uniform)
TA1CHV ✅ (Charlie, Hotel, Victor)
TA1CHW ✅ (Charlie, Hotel, Whiskey)
TA1CHX ✅ (Charlie, Hotel, X-ray)
TA1CHY ✅ (Charlie, Hotel, Yankee)
TA1CHZ ✅ (Charlie, Hotel, Zulu)
TA1CIB ✅ (Charlie, India, Bravo)
TA1CIC ✅ (Charlie, India, Charlie) 🟢 ⚫️ 🟢
TA1CID ✅ (Charlie, India, Delta)
TA1CIE ✅ (Charlie, India, Echo)
TA1CIF ✅ (Charlie, India, Foxtrot)
TA1CIG ✅ (Charlie, India, Golf)
TA1CIH ✅ (Charlie, India, Hotel)
TA1CII ✅ (Charlie, India, India) ⚫️ 🟢 🟢
TA1CIJ ✅ (Charlie, India, Juliett)
TA1CIK ✅ (Charlie, India, Kilo)
TA1CIL ✅ (Charlie, India, Lima)
TA1CIM ✅ (Charlie, India, Mike)
TA1CIN ✅ (Charlie, India, November)
TA1CIO ✅ (Charlie, India, Oscar)
TA1CIP ✅ (Charlie, India, Papa)
TA1CIQ ✅ (Charlie, India, Quebec)
TA1CIR ✅ (Charlie, India, Romeo)
TA1CIS ✅ (Charlie, India, Sierra)
TA1CIT ✅ (Charlie, India, Tango)
TA1CIU ✅ (Charlie, India, Uniform)
TA1CIW ✅ (Charlie, India, Whiskey)
TA1CIY ✅ (Charlie, India, Yankee)
TA1CJA ✅ (Charlie, Juliett, Alfa)
TA1CJB ✅ (Charlie, Juliett, Bravo)
TA1CJC ✅ (Charlie, Juliett, Charlie) 🟢 ⚫️ 🟢
TA1CJD ✅ (Charlie, Juliett, Delta)
TA1CJE ✅ (Charlie, Juliett, Echo)
TA1CJF ✅ (Charlie, Juliett, Foxtrot)
TA1CJG ✅ (Charlie, Juliett, Golf)
TA1CJH ✅ (Charlie, Juliett, Hotel)
TA1CJI ✅ (Charlie, Juliett, India)
TA1CJJ ✅ (Charlie, Juliett, Juliett) ⚫️ 🟢 🟢
TA1CJK ✅ (Charlie, Juliett, Kilo)
TA1CJL ✅ (Charlie, Juliett, Lima)
TA1CJM ✅ (Charlie, Juliett, Mike)
TA1CJN ✅ (Charlie, Juliett, November)
TA1CJO ✅ (Charlie, Juliett, Oscar)
TA1CJP ✅ (Charlie, Juliett, Papa)
TA1CJQ ✅ (Charlie, Juliett, Quebec)
TA1CJR ✅ (Charlie, Juliett, Romeo)
TA1CJS ✅ (Charlie, Juliett, Sierra)
TA1CJT ✅ (Charlie, Juliett, Tango)
TA1CJU ✅ (Charlie, Juliett, Uniform)
TA1CJV ✅ (Charlie, Juliett, Victor)
TA1CJW ✅ (Charlie, Juliett, Whiskey)
TA1CJX ✅ (Charlie, Juliett, X-ray)
TA1CJY ✅ (Charlie, Juliett, Yankee)
TA1CJZ ✅ (Charlie, Juliett, Zulu)
TA1CKB ✅ (Charlie, Kilo, Bravo)
TA1CKD ✅ (Charlie, Kilo, Delta)
TA1CKF ✅ (Charlie, Kilo, Foxtrot)
TA1CKG ✅ (Charlie, Kilo, Golf)
TA1CKH ✅ (Charlie, Kilo, Hotel)
TA1CKI ✅ (Charlie, Kilo, India)
TA1CKJ ✅ (Charlie, Kilo, Juliett)
TA1CKL ✅ (Charlie, Kilo, Lima)
TA1CKO ✅ (Charlie, Kilo, Oscar)
TA1CKP ✅ (Charlie, Kilo, Papa)
